sn,aid,id,cluster_id,tag,host_name,az,data_center,rack,machine,service_type,host_ip,state,error_count,created_time,update_time,status,rack_id,host_group_id,disabled_app_id,reserved,is_dpdk,xc_group,dh_id,cpu_model,data_ip,snic_ip,snic_data_ip,snic_host_name,aid,id,cluster_id,host_id,vcpus,memory,disk,vcpus_used,memory_used,disk_used,vcpus_reserved,vcpus_reserved_info,memory_reserved,disk_reserved,cpu_mode,cpualloc_ratio,run_vms,created_time,update_time,status,version,gpu_card,disk_count,gpu_card_ratio,gpu_card_used,disk_count_used,share_vms,share_vcpus,mix_mode,memory_ratio
"12","29992","5851","cluster-general-prod-bj02","service-check=service-check-success","A01-R22-I15-103-1SBPXP2.JCLOUD.COM","prod_bj02","","MD6-H-12","general_2","kvm,hyper","10.211.15.103","Enable","1","2018-12-26 11:52:38","2020-11-19 00:50:44","1","817","601","","0","1","true","","","10.212.15.103","","","","29992","5851","cluster-general-prod-bj02","5851","80","393216","1945","0","0","0","6","0,1,8,10,48,50","98304","100","set","1","0","2018-12-26 11:52:38","2020-12-03 19:39:00","1","8","0","0","1","0","0","0","0","0","1"
"13","29994","5853","cluster-general-prod-bj02","service-check=service-check-success","A01-R22-I15-104-97WBHP2.JCLOUD.COM","prod_bj02","","MD6-H-12","general_2","kvm,hyper","10.211.15.104","Enable","1","2018-12-26 11:52:39","2020-11-19 00:50:44","1","817","601","","0","1","true","","","10.212.15.104","","","","29994","5853","cluster-general-prod-bj02","5853","80","393216","1945","0","0","0","6","0,1,8,10,48,50","98304","100","set","1","0","2018-12-26 11:52:39","2020-12-03 19:39:00","1","6","0","0","1","0","0","0","0","0","1"
"14","29985","5843","cluster-general-prod-bj02","service-check=service-check-success","A01-R22-I15-105-95SBHP2.JCLOUD.COM","prod_bj02","","MD6-H-12","general_2","kvm,hyper","10.211.15.105","Enable","1","2018-12-26 11:52:30","2020-11-19 00:50:44","1","817","601","","0","1","true","","","10.212.15.105","","","","29985","5843","cluster-general-prod-bj02","5843","80","393216","1945","0","0","0","6","0,1,8,10,48,50","98304","100","set","1","0","2018-12-26 11:52:30","2020-12-03 19:39:00","1","6","0","0","1","0","0","0","0","0","1"
"15","29983","5841","cluster-general-prod-bj02","service-check=service-check-success","A01-R22-I15-106-1NWGXP2.JCLOUD.COM","prod_bj02","","MD6-H-12","general_2","kvm,hyper","10.211.15.106","Enable","1","2018-12-26 11:52:29","2020-11-19 00:50:44","1","817","601","","0","1","true","","","10.212.15.106","","","","29983","5841","cluster-general-prod-bj02","5841","80","393216","1945","0","0","0","6","0,1,8,10,48,50","98304","100","set","1","0","2018-12-26 11:52:29","2020-12-03 19:39:00","1","8","0","0","1","0","0","0","0","0","1"
"16","30001","5862","cluster-general-prod-bj02","service-check=service-check-success","A01-R22-I15-107-1SMMXP2.JCLOUD.COM","prod_bj02","","MD6-H-12","general_2","kvm,hyper","10.211.15.107","Enable","1","2018-12-26 11:52:48","2020-11-19 00:50:44","1","817","601","","0","1","true","","","10.212.15.107","","","","30001","5862","cluster-general-prod-bj02","5862","80","393216","1945","0","0","0","6","0,1,8,10,48,50","98304","100","set","1","0","2018-12-26 11:52:48","2020-12-03 19:39:00","1","8","0","0","1","0","0","0","0","0","1"
"17","30002","5863","cluster-general-prod-bj02","service-check=service-check-success","A01-R22-I15-130-1RCPXP2.JCLOUD.COM","prod_bj02","","MD6-H-13","general_2","kvm,hyper","10.211.15.130","Enable","1","2018-12-26 11:52:51","2020-11-19 00:50:44","1","818","601","","0","1","true","","","10.212.15.130","","","","30002","5863","cluster-general-prod-bj02","5863","80","393216","1945","0","0","0","6","0,1,8,10,48,50","98304","100","set","1","0","2018-12-26 11:52:51","2020-12-03 19:39:00","1","8","0","0","1","0","0","0","0","0","1"
"18","30007","5868","cluster-general-prod-bj02","service-check=service-check-success","A01-R22-I15-131-1QWNXP2.JCLOUD.COM","prod_bj02","","MD6-H-13","general_2","kvm,hyper","10.211.15.131","Enable","1","2018-12-26 11:52:53","2020-11-19 00:50:44","1","818","601","","0","1","true","","","10.212.15.131","","","","30007","5868","cluster-general-prod-bj02","5868","80","393216","1945","0","0","0","6","0,1,8,10,48,50","98304","100","set","1","0","2018-12-26 11:52:53","2020-12-03 19:39:00","1","8","0","0","1","0","0","0","0","0","1"
"19","29996","5857","cluster-general-prod-bj02","service-check=service-check-success","A01-R22-I15-133-BK77HP2.JCLOUD.COM","prod_bj02","","MD6-H-13","general_2","kvm,hyper","10.211.15.133","Enable","1","2018-12-26 11:52:41","2020-11-19 00:50:44","1","818","601","","0","1","true","","","10.212.15.133","","","","29996","5857","cluster-general-prod-bj02","5857","80","393216","1945","0","0","0","6","0,1,8,10,48,50","98304","100","set","1","0","2018-12-26 11:52:41","2020-12-03 19:39:00","1","6","0","0","1","0","0","0","0","0","1"
"20","29984","5842","cluster-general-prod-bj02","service-check=service-check-success","A01-R22-I15-134-1QTKXP2.JCLOUD.COM","prod_bj02","","MD6-H-13","general_2","kvm,hyper","10.211.15.134","Enable","1","2018-12-26 11:52:29","2020-11-19 00:50:44","1","818","601","","0","1","true","","","10.212.15.134","","","","29984","5842","cluster-general-prod-bj02","5842","80","393216","1945","0","0","0","6","0,1,8,10,48,50","98304","100","set","1","0","2018-12-26 11:52:29","2020-12-03 19:39:00","1","8","0","0","1","0","0","0","0","0","1"
"21","30009","5928","cluster-general-prod-bj02","service-check=service-check-success","A01-R22-I15-135-986BHP2.JCLOUD.COM","prod_bj02","","MD6-H-13","general_2","kvm,hyper","10.211.15.135","Enable","1","2018-12-26 14:54:12","2020-11-19 00:50:44","1","818","601","","0","1","true","","","10.212.15.135","","","","30009","5928","cluster-general-prod-bj02","5928","80","393216","1945","0","0","0","6","0,1,8,10,48,50","98304","100","set","1","0","2018-12-26 14:54:12","2020-12-03 19:39:01","1","4","0","0","1","0","0","0","0","0","1"
"22","29995","5854","cluster-general-prod-bj02","service-check=service-check-success","A01-R22-I15-136-1R9LXP2.JCLOUD.COM","prod_bj02","","MD6-H-13","general_2","kvm,hyper","10.211.15.136","Enable","1","2018-12-26 11:52:40","2020-11-19 00:50:44","1","818","601","","0","1","true","","","10.212.15.136","","","","29995","5854","cluster-general-prod-bj02","5854","80","393216","1945","0","0","0","6","0,1,8,10,48,50","98304","100","set","1","0","2018-12-26 11:52:40","2020-12-03 19:39:00","1","10","0","0","1","0","0","0","0","0","1"
"23","29998","5859","cluster-general-prod-bj02","service-check=service-check-success","A01-R22-I15-137-BGY6HP2.JCLOUD.COM","prod_bj02","","MD6-H-13","general_2","kvm,hyper","10.211.15.137","Enable","1","2018-12-26 11:52:44","2020-11-19 00:50:44","1","818","601","","0","1","true","","","10.212.15.137","","","","29998","5859","cluster-general-prod-bj02","5859","80","393216","1945","0","0","0","6","0,1,8,10,48,50","98304","100","set","1","0","2018-12-26 11:52:44","2020-12-03 19:39:00","1","6","0","0","1","0","0","0","0","0","1"
"24","30006","5867","cluster-general-prod-bj02","service-check=service-check-success","A01-R22-I15-138-BK67HP2.JCLOUD.COM","prod_bj02","","MD6-H-13","general_2","kvm,hyper","10.211.15.138","Enable","1","2018-12-26 11:52:53","2020-11-19 00:50:44","1","818","601","","0","1","true","","","10.212.15.138","","","","30006","5867","cluster-general-prod-bj02","5867","80","393216","1945","0","0","0","6","0,1,8,10,48,50","98304","100","set","1","0","2018-12-26 11:52:53","2020-12-03 19:39:00","1","6","0","0","1","0","0","0","0","0","1"
"25","29986","5844","cluster-general-prod-bj02","service-check=service-check-success","A01-R22-I15-139-BJJ7HP2.JCLOUD.COM","prod_bj02","","MD6-H-13","general_2","kvm,hyper","10.211.15.139","Enable","1","2018-12-26 11:52:33","2020-11-19 00:50:44","1","818","601","","0","1","true","","","10.212.15.139","","","","29986","5844","cluster-general-prod-bj02","5844","80","393216","1945","0","0","0","6","0,1,8,10,48,50","98304","100","set","1","0","2018-12-26 11:52:33","2020-12-03 19:39:00","1","6","0","0","1","0","0","0","0","0","1"
"26","30003","5864","cluster-general-prod-bj02","service-check=service-check-success","A01-R22-I15-162-1NVPXP2.JCLOUD.COM","prod_bj02","","MD6-H-14","general_2","kvm,hyper","10.211.15.162","Enable","1","2018-12-26 11:52:51","2020-11-19 00:50:44","1","816","601","","0","1","true","","","10.212.15.162","","","","30003","5864","cluster-general-prod-bj02","5864","80","393216","1945","0","0","0","6","0,1,8,10,48,50","98304","100","set","1","0","2018-12-26 11:52:51","2020-12-03 19:39:00","1","8","0","0","1","0","0","0","0","0","1"
"27","29988","5846","cluster-general-prod-bj02","service-check=service-check-success","A01-R22-I15-163-1NKJXP2.JCLOUD.COM","prod_bj02","","MD6-H-14","general_2","kvm,hyper","10.211.15.163","Enable","1","2018-12-26 11:52:35","2020-11-19 00:50:44","1","816","601","","0","1","true","","","10.212.15.163","","","","29988","5846","cluster-general-prod-bj02","5846","80","393216","1945","0","0","0","6","0,1,8,10,48,50","98304","100","set","1","0","2018-12-26 11:52:35","2020-12-03 19:39:00","1","6","0","0","1","0","0","0","0","0","1"
"28","29990","5848","cluster-general-prod-bj02","service-check=service-check-success","A01-R22-I15-164-1R3KXP2.JCLOUD.COM","prod_bj02","","MD6-H-14","general_2","kvm,hyper","10.211.15.164","Enable","1","2018-12-26 11:52:37","2020-11-19 00:50:44","1","816","601","","0","1","true","","","10.212.15.164","","","","29990","5848","cluster-general-prod-bj02","5848","80","393216","1945","0","0","0","6","0,1,8,10,48,50","98304","100","set","1","0","2018-12-26 11:52:37","2020-12-03 19:39:00","1","6","0","0","1","0","0","0","0","0","1"
"29","30005","5866","cluster-general-prod-bj02","service-check=service-check-success","A01-R22-I15-165-1SFKXP2.JCLOUD.COM","prod_bj02","","MD6-H-14","general_2","kvm,hyper","10.211.15.165","Enable","1","2018-12-26 11:52:52","2020-11-19 00:50:44","1","816","601","","0","1","true","","","10.212.15.165","","","","30005","5866","cluster-general-prod-bj02","5866","80","393216","1945","0","0","0","6","0,1,8,10,48,50","98304","100","set","1","0","2018-12-26 11:52:52","2020-12-03 19:39:00","1","10","0","0","1","0","0","0","0","0","1"
"30","30000","5861","cluster-general-prod-bj02","service-check=service-check-success","A01-R22-I15-166-97R7HP2.JCLOUD.COM","prod_bj02","","MD6-H-14","general_2","kvm,hyper","10.211.15.166","Enable","1","2018-12-26 11:52:46","2020-11-19 00:50:44","1","816","601","","0","1","true","","","10.212.15.166","","","","30000","5861","cluster-general-prod-bj02","5861","80","393216","1945","0","0","0","6","0,1,8,10,48,50","98304","100","set","1","0","2018-12-26 11:52:46","2020-12-03 19:39:00","1","6","0","0","1","0","0","0","0","0","1"
