sn,aid,id,cluster_id,tag,host_name,az,data_center,rack,machine,service_type,host_ip,state,error_count,created_time,update_time,status,rack_id,host_group_id,disabled_app_id,reserved,is_dpdk,xc_group,dh_id,cpu_model,data_ip,snic_ip,snic_data_ip,snic_host_name,aid,id,cluster_id,host_id,vcpus,memory,disk,vcpus_used,memory_used,disk_used,vcpus_reserved,vcpus_reserved_info,memory_reserved,disk_reserved,cpu_mode,cpualloc_ratio,run_vms,created_time,update_time,status,version,gpu_card,disk_count,gpu_card_ratio,gpu_card_used,disk_count_used,share_vms,share_vcpus,mix_mode,memory_ratio
"41","30120","5886","cluster-general-prod-bj02","","A01-R22-I15-73-1SKLXP2.JCLOUD.COM","prod_bj02","","MD6-H-11","general_2","kvm,hyper","10.211.15.73","Enable","1","2018-12-26 12:08:39","2020-08-04 01:42:47","1","819","605","","0","1","true","","","10.212.15.73","","","","30120","5886","cluster-general-prod-bj02","5886","80","393216","1945","24","57344","0","6","0,1,8,10,48,50","98304","100","set","1","5","2018-12-26 12:08:39","2021-01-26 00:00:17","1","2649","0","0","1","0","0","0","0","0","1"
"42","30118","5882","cluster-general-prod-bj02","","A01-R22-I15-74-1Q7LXP2.JCLOUD.COM","prod_bj02","","MD6-H-11","general_2","kvm,hyper","10.211.15.74","Enable","1","2018-12-26 12:08:32","2020-08-04 01:42:47","1","819","605","","0","1","true","","","10.212.15.74","","","","30118","5882","cluster-general-prod-bj02","5882","80","393216","1945","56","192512","0","6","0,1,8,10,48,50","98304","100","set","1","8","2018-12-26 12:08:32","2021-01-29 10:27:24","1","6936","0","0","1","0","0","0","0","0","1"
"43","30115","5876","cluster-general-prod-bj02","","A01-R22-I15-75-1NNKXP2.JCLOUD.COM","prod_bj02","","MD6-H-11","general_2","kvm,hyper","10.211.15.75","Enable","1","2018-12-26 12:08:23","2020-08-02 04:39:51","1","819","605","","0","1","true","","","10.212.15.75","","","","30115","5876","cluster-general-prod-bj02","5876","80","393216","1945","72","237568","0","6","0,1,8,10,48,50","98304","100","set","1","12","2018-12-26 12:08:23","2021-02-01 10:55:52","1","13550","0","0","1","0","0","0","0","0","1"
"44","30008","5869","cluster-general-prod-bj02","service-check=service-check-success","A01-R22-I15-98-BHP8HP2.JCLOUD.COM","prod_bj02","","MD6-H-12","general_2","kvm,hyper","10.211.15.98","Enable","1","2018-12-26 11:52:57","2020-11-19 00:50:44","1","817","601","","0","1","true","","","10.212.15.98","","","","30008","5869","cluster-general-prod-bj02","5869","80","393216","1945","0","0","0","6","0,1,8,10,48,50","98304","100","set","1","0","2018-12-26 11:52:57","2020-12-03 19:39:00","1","6","0","0","1","0","0","0","0","0","1"
"45","29980","4182","cluster-general-prod-bj02","","A01-R22-I16-11-1R8KXP2.JCLOUD.COM","prod_bj02","","MD6-H-17","general_2","kvm,hyper","10.211.16.11","Enable","6","2018-09-19 17:20:31","2020-08-06 02:35:35","1","531","601","","0","1","true","","","10.212.16.11","","","","29980","4182","cluster-general-prod-bj02","4182","80","393216","1945","53","208896","0","6","0,1,8,10,48,50","98304","100","set","1","18","2018-09-19 17:20:31","2021-02-01 10:55:52","1","19659","0","0","1","0","0","0","0","0","1"
"46","29977","4142","cluster-general-prod-bj02","","A01-R22-I16-168-1NZQXP2.JCLOUD.COM","prod_bj02","","MD6-H-22","general_2","kvm,hyper","10.211.16.168","Enable","2","2018-09-19 17:20:15","2020-08-06 02:35:35","1","537","601","","0","1","true","","","10.212.16.168","","","","29977","4142","cluster-general-prod-bj02","4142","80","393216","1945","59","258048","0","6","0,1,8,10,48,50","98304","100","set","1","16","2018-09-19 17:20:15","2021-01-14 14:52:39","1","23646","0","0","1","0","0","0","0","0","1"
"47","29978","4147","cluster-general-prod-bj02","","A01-R22-I16-171-1RTNXP2.JCLOUD.COM","prod_bj02","","MD6-H-22","general_2","kvm,hyper","10.211.16.171","Enable","1","2018-09-19 17:20:18","2020-12-16 11:41:01","1","537","601","","0","1","true","","","10.212.16.171","","","","29978","4147","cluster-general-prod-bj02","4147","80","393216","1945","62","221184","0","6","0,1,8,10,48,50","98304","100","set","1","15","2018-09-19 17:20:18","2021-01-07 12:47:46","1","25787","0","0","1","0","0","0","0","0","1"
"48","30163","4138","cluster-general-prod-bj02","service-check=service-check-success","A01-R22-I16-200-1SGLXP2.JCLOUD.COM","prod_bj02","","MD6-I-01","general_2","kvm,hyper","10.211.16.200","Enable","2","2018-09-19 17:20:14","2020-11-19 00:50:44","1","535","635","","0","1","true","","","10.212.16.200","","","","30163","4138","cluster-general-prod-bj02","4138","80","393216","1945","0","0","0","6","0,1,8,10,48,50","98304","100","set","1","0","2018-09-19 17:20:14","2020-12-03 19:39:00","1","294","0","0","1","0","0","0","0","0","1"
"49","30165","4166","cluster-general-prod-bj02","","A01-R22-I16-226-98G5HP2.JCLOUD.COM","prod_bj02","","MD6-I-02","general_2","kvm,hyper","10.211.16.226","Enable","2","2018-09-19 17:20:26","2021-01-26 18:45:18","1","536","635","","0","1","true","","","10.212.16.226","","","","30165","4166","cluster-general-prod-bj02","4166","80","393216","1945","23","88064","0","6","0,1,8,10,48,50","98304","100","set","1","22","2018-09-19 17:20:26","2021-02-01 11:11:17","1","3749","0","0","1","0","0","0","0","0","1"
"50","29979","4162","cluster-general-prod-bj02","","A01-R22-I16-37-1P2QXP2.JCLOUD.COM","prod_bj02","","MD6-H-18","general_2","kvm,hyper","10.211.16.37","Enable","1","2018-09-19 17:20:25","2020-12-09 02:46:10","1","532","601","","0","1","true","","","10.212.16.37","","","","29979","4162","cluster-general-prod-bj02","4162","80","393216","1945","53","122880","0","6","0,1,8,10,48,50","98304","100","set","1","14","2018-09-19 17:20:25","2021-02-01 08:50:57","1","23166","0","0","1","0","0","0","0","0","1"
"51","30164","4150","cluster-general-prod-bj02","service-check=service-check-success","A01-R22-I16-42-1R7QXP2.JCLOUD.COM","prod_bj02","","MD6-H-18","general_2","kvm,hyper","10.211.16.42","Enable","2","2018-09-19 17:20:19","2020-11-19 00:50:44","1","532","635","","0","1","true","","","10.212.16.42","","","","30164","4150","cluster-general-prod-bj02","4150","80","393216","1945","0","0","0","6","0,1,8,10,48,50","98304","100","set","1","0","2018-09-19 17:20:19","2020-12-03 19:39:00","1","277","0","0","1","0","0","0","0","0","1"
"52","29976","4136","cluster-general-prod-bj02","","A01-R22-I16-9-1RRJXP2.JCLOUD.COM","prod_bj02","","MD6-H-17","general_2","kvm,hyper","10.211.16.9","Enable","1","2018-09-19 17:20:13","2020-09-23 03:48:56","1","531","601","","0","1","true","","","10.212.16.9","","","","29976","4136","cluster-general-prod-bj02","4136","80","393216","1945","51","155648","0","6","0,1,8,10,48,50","98304","100","set","1","14","2018-09-19 17:20:13","2021-02-01 10:56:20","1","24420","0","0","1","0","0","0","0","0","1"
"53","30161","4095","cluster-general-prod-bj02","service-check=service-check-success","A01-R22-I17-3-1NYNXP2.JCLOUD.COM","prod_bj02","","MD6-I-03","general_2","kvm,hyper","10.211.17.3","Enable","2","2018-09-19 15:36:21","2020-11-19 00:50:44","1","529","635","","0","1","true","","","10.212.17.3","","","","30161","4095","cluster-general-prod-bj02","4095","80","393216","1945","0","0","0","6","0,1,8,10,48,50","98304","100","set","1","0","2018-09-19 15:36:21","2020-12-03 19:39:00","1","347","0","0","1","0","0","0","0","0","1"
"54","30160","4094","cluster-general-prod-bj02","service-check=service-check-success","A01-R22-I17-38-1PCLXP2.JCLOUD.COM","prod_bj02","","MD6-I-04","general_2","kvm,hyper","10.211.17.38","Enable","2","2018-09-19 15:36:21","2020-11-19 00:50:44","1","528","635","","0","1","true","","","10.212.17.38","","","","30160","4094","cluster-general-prod-bj02","4094","80","393216","1945","0","0","0","6","0,1,8,10,48,50","98304","100","set","1","0","2018-09-19 15:36:21","2020-12-03 19:39:00","1","285","0","0","1","0","0","0","0","0","1"
"55","30157","4087","cluster-general-prod-bj02","service-check=service-check-success","A01-R22-I17-6-BK88HP2.JCLOUD.COM","prod_bj02","","MD6-I-03","general_2","kvm,hyper","10.211.17.6","Enable","2","2018-09-19 15:36:15","2020-11-19 00:50:44","1","529","635","","0","1","true","","","10.212.17.6","","","","30157","4087","cluster-general-prod-bj02","4087","80","393216","1945","0","0","0","6","0,1,8,10,48,50","98304","100","set","1","0","2018-09-19 15:36:15","2020-12-03 19:39:00","1","343","0","0","1","0","0","0","0","0","1"
"56","30159","4093","cluster-general-prod-bj02","service-check=service-check-success","A01-R22-I17-7-1NKHXP2.JCLOUD.COM","prod_bj02","","MD6-I-03","general_2","kvm,hyper","10.211.17.7","Enable","2","2018-09-19 15:36:19","2020-11-19 00:50:44","1","529","635","","0","1","true","","","10.212.17.7","","","","30159","4093","cluster-general-prod-bj02","4093","80","393216","1945","0","0","0","6","0,1,8,10,48,50","98304","100","set","1","0","2018-09-19 15:36:19","2020-12-03 19:39:00","1","328","0","0","1","0","0","0","0","0","1"
"57","30162","4108","cluster-general-prod-bj02","service-check=service-check-success","A01-R22-I17-71-1PSKXP2.JCLOUD.COM","prod_bj02","","MD6-I-05","general_2","kvm,hyper","10.211.17.71","Enable","2","2018-09-19 15:36:38","2020-11-19 00:50:44","1","530","635","","0","1","true","","","10.212.17.71","","","","30162","4108","cluster-general-prod-bj02","4108","80","393216","1945","0","0","0","6","0,1,8,10,48,50","98304","100","set","1","0","2018-09-19 15:36:38","2020-12-03 19:39:00","1","328","0","0","1","0","0","0","0","0","1"
"58","30158","4090","cluster-general-prod-bj02","service-check=service-check-success","A01-R22-I17-75-1R4HXP2.JCLOUD.COM","prod_bj02","","MD6-I-05","general_2","kvm,hyper","10.211.17.75","Enable","2","2018-09-19 15:36:15","2020-11-19 00:50:44","1","530","635","","0","1","true","","","10.212.17.75","","","","30158","4090","cluster-general-prod-bj02","4090","80","393216","1945","0","0","0","6","0,1,8,10,48,50","98304","100","set","1","0","2018-09-19 15:36:15","2020-12-03 19:39:00","1","282","0","0","1","0","0","0","0","0","1"
"59","30156","4083","cluster-general-prod-bj02","service-check=service-check-success","A01-R22-I17-9-1RDNXP2.JCLOUD.COM","prod_bj02","","MD6-I-03","general_2","kvm,hyper","10.211.17.9","Enable","2","2018-09-19 15:36:12","2020-11-19 00:50:44","1","529","635","","0","1","true","","","10.212.17.9","","","","30156","4083","cluster-general-prod-bj02","4083","80","393216","1945","0","0","0","6","0,1,8,10,48,50","98304","100","set","1","0","2018-09-19 15:36:12","2020-12-03 19:39:00","1","298","0","0","1","0","0","0","0","0","1"
"60","29961","3984","cluster-general-prod-bj02","cloud-security=cloud-security","A01-R22-I20-102-1QHLXP2.JCLOUD.COM","prod_bj02","","DPL1-C-17","general_2","kvm,hyper","10.211.20.102","Enable","2","2018-09-19 10:25:31","2020-11-19 00:50:44","1","517","601","","0","1","true","","","10.212.20.102","","","","29961","3984","cluster-general-prod-bj02","3984","80","393216","1945","52","122880","0","6","0,1,8,10,48,50","98304","100","set","1","6","2018-09-19 10:25:31","2020-12-03 19:38:59","1","756","0","0","1","0","0","0","0","0","1"
"61","29963","3986","cluster-general-prod-bj02","","A01-R22-I20-106-1PCRXP2.JCLOUD.COM","prod_bj02","","DPL1-C-17","general_2","kvm,hyper","10.211.20.106","Enable","18","2018-09-19 10:25:32","2020-08-01 02:45:59","1","517","601","","0","1","true","","","10.212.20.106","","","","29963","3986","cluster-general-prod-bj02","3986","80","393216","1945","56","200704","0","6","0,1,8,10,48,50","98304","100","set","1","12","2018-09-19 10:25:32","2021-02-01 11:10:02","1","19046","0","0","1","0","0","0","0","0","1"
"62","29964","3989","cluster-general-prod-bj02","","A01-R22-I20-131-1SQKXP2.JCLOUD.COM","prod_bj02","","DPL1-D-12","general_2","kvm,hyper","10.211.20.131","Enable","1","2018-09-19 10:25:35","2020-08-06 02:35:35","1","518","601","","0","1","true","","","10.212.20.131","","","","29964","3989","cluster-general-prod-bj02","3989","80","393216","1945","59","167936","0","6","0,1,8,10,48,50","98304","100","set","1","9","2018-09-19 10:25:35","2021-01-11 11:51:22","1","16891","0","0","1","0","0","0","0","0","1"
"63","29965","3991","cluster-general-prod-bj02","","A01-R22-I20-133-1SRJXP2.JCLOUD.COM","prod_bj02","","DPL1-D-12","general_2","kvm,hyper","10.211.20.133","Enable","1","2018-09-19 10:25:37","2020-08-06 02:35:35","1","518","601","","0","1","true","","","10.212.20.133","","","","29965","3991","cluster-general-prod-bj02","3991","80","393216","1945","58","188416","0","6","0,1,8,10,48,50","98304","100","set","1","23","2018-09-19 10:25:37","2021-02-01 10:58:29","1","36288","0","0","1","0","0","0","0","0","1"
"64","29962","3985","cluster-general-prod-bj02","","A01-R22-I20-135-1PYMXP2.JCLOUD.COM","prod_bj02","","DPL1-D-12","general_2","kvm,hyper","10.211.20.135","Enable","13","2018-09-19 10:25:32","2020-08-06 02:35:35","1","518","601","","0","1","true","","","10.212.20.135","","","","29962","3985","cluster-general-prod-bj02","3985","80","393216","1945","57","188416","0","6","0,1,8,10,48,50","98304","100","set","1","24","2018-09-19 10:25:32","2021-02-01 10:55:52","1","27616","0","0","1","0","0","0","0","0","1"
"65","29959","3977","cluster-general-prod-bj02","","A01-R22-I20-136-1QXQXP2.JCLOUD.COM","prod_bj02","","DPL1-D-12","general_2","kvm,hyper","10.211.20.136","Enable","1","2018-09-19 10:25:25","2020-08-04 01:38:32","1","518","601","","0","1","true","","","10.212.20.136","","","","29959","3977","cluster-general-prod-bj02","3977","80","393216","1945","60","139264","0","6","0,1,8,10,48,50","98304","100","set","1","13","2018-09-19 10:25:25","2021-02-01 10:55:52","1","15849","0","0","1","0","0","0","0","0","1"
"66","30151","3980","cluster-general-prod-bj02","","A01-R22-I20-137-1PPNXP2.JCLOUD.COM","prod_bj02","","DPL1-D-12","general_2","kvm,hyper","10.211.20.137","Enable","1","2018-09-19 10:25:28","2021-01-21 03:13:37","1","518","635","","0","1","true","","","10.212.20.137","","","","30151","3980","cluster-general-prod-bj02","3980","80","393216","1945","73","290816","0","6","0,1,8,10,48,50","98304","100","set","1","32","2018-09-19 10:25:28","2021-01-26 18:49:58","1","120842","0","0","1","0","0","0","0","0","1"
"67","29960","3981","cluster-general-prod-bj02","","A01-R22-I20-138-1S0LXP2.JCLOUD.COM","prod_bj02","","DPL1-D-12","general_2","kvm,hyper","10.211.20.138","Enable","18","2018-09-19 10:25:29","2020-08-06 02:35:35","1","518","601","","0","1","true","","","10.212.20.138","","","","29960","3981","cluster-general-prod-bj02","3981","80","393216","1945","70","245760","0","6","0,1,8,10,48,50","98304","100","set","1","14","2018-09-19 10:25:29","2021-01-30 00:00:18","1","13204","0","0","1","0","0","0","0","0","1"
"68","29958","3967","cluster-general-prod-bj02","","A01-R22-I20-139-1PWKXP2.JCLOUD.COM","prod_bj02","","DPL1-D-12","general_2","kvm,hyper","10.211.20.139","Enable","1","2018-09-19 10:25:17","2020-11-02 10:58:17","1","518","601","","0","1","true","","","10.212.20.139","","","","29958","3967","cluster-general-prod-bj02","3967","80","393216","1945","58","139264","0","6","0,1,8,10,48,50","98304","100","set","1","12","2018-09-19 10:25:17","2021-02-01 11:10:02","1","21896","0","0","1","0","0","0","0","0","1"
"69","30150","3972","cluster-general-prod-bj02","service-check=service-check-success","A01-R22-I20-39-1QFNXP2.JCLOUD.COM","prod_bj02","","DPL1-C-15","general_2","kvm,hyper","10.211.20.39","Enable","2","2018-09-19 10:25:21","2020-11-19 00:50:44","1","516","635","","0","1","true","","","10.212.20.39","","","","30150","3972","cluster-general-prod-bj02","3972","80","393216","1945","0","0","0","6","0,1,8,10,48,50","98304","100","set","1","0","2018-09-19 10:25:21","2020-12-03 19:38:59","1","296","0","0","1","0","0","0","0","0","1"
"70","30152","3999","cluster-general-prod-bj02","service-check=service-check-success","A01-R22-I20-43-1RBPXP2.JCLOUD.COM","prod_bj02","","DPL1-C-15","general_2","kvm,hyper","10.211.20.43","Enable","2","2018-09-19 10:25:42","2020-11-19 00:50:44","1","516","635","","0","1","true","","","10.212.20.43","","","","30152","3999","cluster-general-prod-bj02","3999","80","393216","1945","0","0","0","6","0,1,8,10,48,50","98304","100","set","1","0","2018-09-19 10:25:42","2020-12-03 19:38:59","1","299","0","0","1","0","0","0","0","0","1"
"71","30089","3992","cluster-general-prod-bj02","","A01-R22-I20-66-1PGJXP2.JCLOUD.COM","prod_bj02","","DPL1-C-16","general_2","kvm,hyper","10.211.20.66","Enable","26","2018-09-19 10:25:37","2020-08-06 02:35:35","1","519","604","","0","1","true","","","10.212.20.66","","","","30089","3992","cluster-general-prod-bj02","3992","80","393216","1945","73","294912","0","6","0,1,8,10,48,50","98304","100","set","1","17","2018-09-19 10:25:37","2021-02-01 10:55:52","1","48385","0","0","1","0","0","0","0","0","1"
"72","30087","3971","cluster-general-prod-bj02","","A01-R22-I20-67-1RSHXP2.JCLOUD.COM","prod_bj02","","DPL1-C-16","general_2","kvm,hyper","10.211.20.67","Enable","15","2018-09-19 10:25:21","2020-08-01 02:45:59","1","519","604","","0","1","true","","","10.212.20.67","","","","30087","3971","cluster-general-prod-bj02","3971","80","393216","1945","8","40960","0","6","0,1,8,10,48,50","98304","100","set","1","3","2018-09-19 10:25:21","2021-01-15 20:23:39","1","26473","0","0","1","0","0","0","0","0","1"
"73","30166","3987","cluster-general-prod-bj02","","A01-R22-I20-69-1QXHXP2.JCLOUD.COM","prod_bj02","","DPL1-C-16","general_2","kvm,hyper","10.211.20.69","Enable","1","2018-09-19 10:25:32","2020-12-28 21:04:23","1","519","636","","0","1","true","","","10.212.20.69","","","","30166","3987","cluster-general-prod-bj02","3987","80","393216","1945","74","249856","0","6","0,1,8,10,48,50","98304","100","set","1","30","2018-09-19 10:25:32","2021-02-01 11:09:44","1","89192","0","0","1","0","0","0","0","0","1"
"74","30090","3994","cluster-general-prod-bj02","","A01-R22-I20-71-1PBNXP2.JCLOUD.COM","prod_bj02","","DPL1-C-16","general_2","kvm,hyper","10.211.20.71","Enable","1","2018-09-19 10:25:38","2020-11-08 12:30:15","1","519","604","","0","1","true","","","10.212.20.71","","","","30090","3994","cluster-general-prod-bj02","3994","80","393216","1945","74","258048","0","6","0,1,8,10,48,50","98304","100","set","1","24","2018-09-19 10:25:38","2021-02-01 09:54:02","1","56209","0","0","1","0","0","0","0","0","1"
"75","30088","3974","cluster-general-prod-bj02","","A01-R22-I20-72-1SNLXP2.JCLOUD.COM","prod_bj02","","DPL1-C-16","general_2","kvm,hyper","10.211.20.72","Enable","1","2018-09-19 10:25:22","2020-08-06 02:35:35","1","519","604","","0","1","true","","","10.212.20.72","","","","30088","3974","cluster-general-prod-bj02","3974","80","393216","1945","74","188416","0","6","0,1,8,10,48,50","98304","100","set","1","17","2018-09-19 10:25:22","2020-12-30 23:29:12","1","37215","0","0","1","0","0","0","0","0","1"
"76","30092","4000","cluster-general-prod-bj02","","A01-R22-I20-73-1QDRXP2.JCLOUD.COM","prod_bj02","","DPL1-C-16","general_2","kvm,hyper","10.211.20.73","Enable","1","2018-09-19 10:25:42","2020-08-06 02:35:35","1","519","604","","0","1","true","","","10.212.20.73","","","","30092","4000","cluster-general-prod-bj02","4000","80","393216","1945","74","180224","0","6","0,1,8,10,48,50","98304","100","set","1","20","2018-09-19 10:25:42","2021-01-13 16:06:15","1","38114","0","0","1","0","0","0","0","0","1"
"77","30091","3995","cluster-general-prod-bj02","","A01-R22-I20-74-1PXPXP2.JCLOUD.COM","prod_bj02","","DPL1-C-16","general_2","kvm,hyper","10.211.20.74","Enable","1","2018-09-19 10:25:39","2020-08-06 02:35:34","1","519","604","","0","1","true","","","10.212.20.74","","","","30091","3995","cluster-general-prod-bj02","3995","80","393216","1945","52","139264","0","6","0,1,8,10,48,50","98304","100","set","1","21","2018-09-19 10:25:39","2021-02-01 11:08:05","1","54385","0","0","1","0","0","0","0","0","1"
"78","30072","3711","cluster-general-prod-bj02","","A01-R22-I21-104-1P3NXP2.JCLOUD.COM","prod_bj02","","DPL1-E-04","general_2","kvm,hyper","10.211.21.104","Enable","6","2018-09-17 15:02:03","2020-08-06 02:35:34","1","491","604","","0","1","true","","","10.212.21.104","","","","30072","3711","cluster-general-prod-bj02","3711","80","393216","1945","73","217088","0","6","0,1,8,10,48,50","98304","100","set","1","14","2018-09-17 15:02:03","2021-02-01 10:55:52","1","14615","0","0","1","0","0","0","0","0","1"
"79","30133","3724","cluster-general-prod-bj02","service-check=service-check-success","A01-R22-I21-107-1NSNXP2.JCLOUD.COM","prod_bj02","","DPL1-E-04","general_2","kvm,hyper","10.211.21.107","Enable","2","2018-09-17 15:02:12","2020-11-19 00:50:44","1","491","635","","0","1","true","","","10.212.21.107","","","","30133","3724","cluster-general-prod-bj02","3724","80","393216","1945","0","0","0","6","0,1,8,10,48,50","98304","100","set","1","0","2018-09-17 15:02:12","2020-12-03 19:38:58","1","324","0","0","1","0","0","0","0","0","1"
"80","30019","3710","cluster-general-prod-bj02","","A01-R22-I21-131-1QKMXP2.JCLOUD.COM","prod_bj02","","DPL1-E-05","general_2","kvm,hyper","10.211.21.131","Enable","1","2018-09-17 15:02:03","2020-12-03 19:41:12","1","493","602","","0","1","true","","","10.212.21.131","","","","30019","3710","cluster-general-prod-bj02","3710","80","393216","1945","61","200704","0","6","0,1,8,10,48,50","98304","100","set","1","9","2018-09-17 15:02:03","2021-02-01 08:29:37","1","10822","0","0","1","0","0","0","0","0","1"
"81","30012","3679","cluster-general-prod-bj02","","A01-R22-I21-136-1NSGXP2.JCLOUD.COM","prod_bj02","","DPL1-E-05","general_2","kvm,hyper","10.211.21.136","Enable","1","2018-09-17 15:01:46","2021-01-25 17:12:28","1","493","602","","0","1","true","","","10.212.21.136","","","","30012","3679","cluster-general-prod-bj02","3679","80","393216","1945","73","159744","0","6","0,1,8,10,48,50","98304","100","set","1","9","2018-09-17 15:01:46","2021-02-01 11:10:13","1","4841","0","0","1","0","0","0","0","0","1"
"82","30016","3697","cluster-general-prod-bj02","","A01-R22-I21-139-1QKPXP2.JCLOUD.COM","prod_bj02","","DPL1-E-05","general_2","kvm,hyper","10.211.21.139","Enable","1","2018-09-17 15:01:59","2020-12-09 02:49:02","1","493","602","","0","1","true","","","10.212.21.139","","","","30016","3697","cluster-general-prod-bj02","3697","80","393216","1945","74","294912","0","6","0,1,8,10,48,50","98304","100","set","1","15","2018-09-17 15:01:59","2021-01-08 16:39:00","1","33177","0","0","1","0","0","0","0","0","1"
"83","30015","3696","cluster-general-prod-bj02","","A01-R22-I21-163-1NTQXP2.JCLOUD.COM","prod_bj02","","DPL1-E-06","general_2","kvm,hyper","10.211.21.163","Enable","1","2018-09-17 15:01:58","2020-08-06 02:35:34","1","494","602","","0","1","true","","","10.212.21.163","","","","30015","3696","cluster-general-prod-bj02","3696","80","393216","1945","72","192512","0","6","0,1,8,10,48,50","98304","100","set","1","14","2018-09-17 15:01:59","2021-02-01 10:55:52","1","14190","0","0","1","0","0","0","0","0","1"
"84","30014","3693","cluster-general-prod-bj02","","A01-R22-I21-170-1R9HXP2.JCLOUD.COM","prod_bj02","","DPL1-E-06","general_2","kvm,hyper","10.211.21.170","Enable","1","2018-09-17 15:01:56","2020-08-06 02:35:35","1","494","602","","0","1","true","","","10.212.21.170","","","","30014","3693","cluster-general-prod-bj02","3693","80","393216","1945","62","147456","0","6","0,1,8,10,48,50","98304","100","set","1","16","2018-09-17 15:01:56","2021-01-30 00:00:18","1","40523","0","0","1","0","0","0","0","0","1"
"85","30041","3690","cluster-general-prod-bj02","","A01-R22-I21-194-1PTJXP2.JCLOUD.COM","prod_bj02","","DPL1-E-07","general_2","kvm,hyper","10.211.21.194","Enable","2","2018-09-17 15:01:53","2020-08-06 02:35:34","1","492","603","","0","1","true","","","10.212.21.194","","","","30041","3690","cluster-general-prod-bj02","3690","80","393216","1945","58","155648","0","6","0,1,8,10,48,50","98304","100","set","1","11","2018-09-17 15:01:53","2021-02-01 00:00:18","1","24464","0","0","1","0","0","0","0","0","1"
"86","30046","3729","cluster-general-prod-bj02","","A01-R22-I21-195-1RWKXP2.JCLOUD.COM","prod_bj02","","DPL1-E-07","general_2","kvm,hyper","10.211.21.195","Enable","4","2018-09-17 15:02:14","2020-08-06 02:35:34","1","492","603","","0","1","true","","","10.212.21.195","","","","30046","3729","cluster-general-prod-bj02","3729","80","393216","1945","47","151552","0","6","0,1,8,10,48,50","98304","100","set","1","15","2018-09-17 15:02:14","2021-01-25 15:53:53","1","37739","0","0","1","0","0","0","0","0","1"
"87","30167","3674","cluster-general-prod-bj02","","A01-R22-I21-196-1NZKXP2.JCLOUD.COM","prod_bj02","","DPL1-E-07","general_2","kvm,hyper","10.211.21.196","Enable","1","2018-09-17 15:01:45","2020-12-09 02:49:01","1","492","637","","0","1","true","","","10.212.21.196","","","","30167","3674","cluster-general-prod-bj02","3674","80","393216","1945","72","294912","0","6","0,1,8,10,48,50","98304","100","set","1","23","2018-09-17 15:01:45","2021-02-01 10:51:44","1","95117","0","0","1","0","0","0","0","0","1"
"88","30168","3718","cluster-general-prod-bj02","","A01-R22-I21-197-1PJPXP2.JCLOUD.COM","prod_bj02","","DPL1-E-07","general_2","kvm,hyper","10.211.21.197","Enable","2","2018-09-17 15:02:09","2020-12-16 11:44:04","1","492","637","","0","1","true","","","10.212.21.197","","","","30168","3718","cluster-general-prod-bj02","3718","80","393216","1945","74","268288","0","6","0,1,8,10,48,50","98304","100","set","1","34","2018-09-17 15:02:09","2021-02-01 11:10:12","1","67648","0","0","1","0","0","0","0","0","1"
"89","30045","3720","cluster-general-prod-bj02","","A01-R22-I21-199-1P2LXP2.JCLOUD.COM","prod_bj02","","DPL1-E-07","general_2","kvm,hyper","10.211.21.199","Enable","4","2018-09-17 15:02:10","2020-08-01 02:45:59","1","492","603","","0","1","true","","","10.212.21.199","","","","30045","3720","cluster-general-prod-bj02","3720","80","393216","1945","74","208896","0","6","0,1,8,10,48,50","98304","100","set","1","10","2018-09-17 15:02:10","2021-01-26 15:54:46","1","18314","0","0","1","0","0","0","0","0","1"
"90","30044","3719","cluster-general-prod-bj02","","A01-R22-I21-201-1Q6HXP2.JCLOUD.COM","prod_bj02","","DPL1-E-07","general_2","kvm,hyper","10.211.21.201","Enable","1","2018-09-17 15:02:10","2020-08-04 01:38:32","1","492","603","","0","1","true","","","10.212.21.201","","","","30044","3719","cluster-general-prod-bj02","3719","80","393216","1945","51","147456","0","6","0,1,8,10,48,50","98304","100","set","1","8","2018-09-17 15:02:10","2021-01-29 23:34:50","1","18619","0","0","1","0","0","0","0","0","1"
"91","30042","3715","cluster-general-prod-bj02","","A01-R22-I21-202-1RXJXP2.JCLOUD.COM","prod_bj02","","DPL1-E-07","general_2","kvm,hyper","10.211.21.202","Enable","1","2018-09-17 15:02:04","2020-11-02 10:58:17","1","492","603","","0","1","true","","","10.212.21.202","","","","30042","3715","cluster-general-prod-bj02","3715","80","393216","1945","31","135168","0","6","0,1,8,10,48,50","98304","100","set","1","11","2018-09-17 15:02:04","2021-01-30 00:00:18","1","23487","0","0","1","0","0","0","0","0","1"
"92","30043","3717","cluster-general-prod-bj02","","A01-R22-I21-203-1QCRXP2.JCLOUD.COM","prod_bj02","","DPL1-E-07","general_2","kvm,hyper","10.211.21.203","Enable","1","2018-09-17 15:02:08","2020-12-16 11:43:49","1","492","603","","0","1","true","","","10.212.21.203","","","","30043","3717","cluster-general-prod-bj02","3717","80","393216","1945","49","147456","0","6","0,1,8,10,48,50","98304","100","set","1","9","2018-09-17 15:02:08","2021-01-28 18:12:24","1","29781","0","0","1","0","0","0","0","0","1"
